epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,13940.3,0.40066,0.23865,0.87584,0.92205,0.88478,0.93825,0.79832,0.67651,0.44976,1.1684,0.0066175,0.0066175,0.0066175
43,14262.2,0.40425,0.23951,0.87826,0.91968,0.87215,0.93379,0.79798,0.67482,0.45839,1.17512,0.006535,0.006535,0.006535
44,14592.1,0.38855,0.23333,0.86627,0.91744,0.87245,0.9358,0.7981,0.67438,0.4692,1.17849,0.0064525,0.0064525,0.0064525
45,14915.3,0.39202,0.2326,0.86964,0.91827,0.87027,0.93132,0.79946,0.67728,0.47095,1.17513,0.00637,0.00637,0.00637
46,15247.4,0.38646,0.22948,0.86359,0.92123,0.86864,0.93044,0.7963,0.6677,0.46168,1.16511,0.0062875,0.0062875,0.0062875
47,15581.6,0.38553,0.22859,0.8625,0.91504,0.87423,0.93204,0.80067,0.66546,0.46052,1.15823,0.006205,0.006205,0.006205
48,15907.6,0.37719,0.22528,0.85904,0.92745,0.87482,0.93391,0.80097,0.67206,0.45413,1.17703,0.0061225,0.0061225,0.0061225
49,16231.5,0.37384,0.22135,0.85651,0.91611,0.87798,0.9307,0.80169,0.66374,0.45128,1.17256,0.00604,0.00604,0.00604
50,16558,0.3667,0.21828,0.84862,0.92374,0.88011,0.93291,0.80582,0.65927,0.45521,1.15423,0.0059575,0.0059575,0.0059575
51,16887.2,0.37247,0.22096,0.85437,0.9193,0.87056,0.93077,0.80359,0.65729,0.46293,1.16028,0.005875,0.005875,0.005875
52,17219.5,0.36898,0.21626,0.85105,0.90604,0.88223,0.93457,0.80443,0.66149,0.46004,1.16777,0.0057925,0.0057925,0.0057925
53,17550.3,inf,0.21565,0.85143,0.90924,0.88223,0.93413,0.80681,0.65985,0.45313,1.1772,0.00571,0.00571,0.00571
54,17878.8,0.3612,0.21324,0.84618,0.90816,0.88133,0.93196,0.80496,0.65292,0.44268,1.15889,0.0056275,0.0056275,0.0056275
55,18207.6,0.35562,0.20904,0.84171,0.91097,0.87639,0.93038,0.80407,0.64885,0.46292,1.15229,0.005545,0.005545,0.005545
56,18534.1,0.36468,0.21287,0.84805,0.923,0.87003,0.93142,0.80401,0.64935,0.45427,1.15431,0.0054625,0.0054625,0.0054625
57,18862.1,0.33988,0.20466,0.83113,0.92013,0.87056,0.93103,0.80474,0.65251,0.45997,1.17116,0.00538,0.00538,0.00538
58,19191.3,0.34776,0.20443,0.83551,0.92229,0.86891,0.93138,0.80896,0.64615,0.44967,1.16012,0.0052975,0.0052975,0.0052975
59,19519.1,0.34358,0.20387,0.83414,0.92876,0.86451,0.9334,0.81152,0.64882,0.45568,1.16241,0.005215,0.005215,0.005215
60,19852.9,0.33622,0.1998,0.82845,0.9078,0.88117,0.93133,0.81028,0.64523,0.45185,1.15468,0.0051325,0.0051325,0.0051325
61,20190.4,0.33734,0.19896,0.83005,0.91295,0.87905,0.93152,0.80742,0.64428,0.45655,1.16393,0.00505,0.00505,0.00505
62,20529.8,0.33833,0.19679,0.83023,0.93013,0.86737,0.93311,0.80913,0.64097,0.44306,1.16046,0.0049675,0.0049675,0.0049675
63,20862.5,0.33161,0.19925,0.82772,0.91957,0.87958,0.93086,0.80935,0.63854,0.45566,1.16275,0.004885,0.004885,0.004885
64,21205.2,0.32712,0.1951,0.82264,0.93379,0.86036,0.93135,0.80826,0.64772,0.46486,1.17386,0.0048025,0.0048025,0.0048025
65,21543.5,0.32625,0.19251,0.82071,0.93984,0.86193,0.93438,0.81049,0.64602,0.46544,1.16617,0.00472,0.00472,0.00472
66,21869.2,0.31528,0.18869,0.81443,0.92675,0.87056,0.93485,0.81135,0.6461,0.45361,1.1673,0.0046375,0.0046375,0.0046375
67,22197.8,0.31891,0.1893,0.81858,0.91858,0.87798,0.93444,0.81083,0.64553,0.45073,1.17138,0.004555,0.004555,0.004555
68,22529,0.31875,0.18861,0.81725,0.92272,0.87412,0.93461,0.8095,0.64363,0.43947,1.17518,0.0044725,0.0044725,0.0044725
69,22859.1,0.31399,0.18594,0.81411,0.91731,0.87745,0.93456,0.81281,0.63999,0.43783,1.16326,0.00439,0.00439,0.00439
70,23185,0.31202,0.18456,0.81234,0.9264,0.87109,0.93486,0.81523,0.63742,0.43813,1.16775,0.0043075,0.0043075,0.0043075
71,23512.4,0.30737,0.18257,0.80988,0.92359,0.87321,0.93555,0.81658,0.63795,0.44157,1.17112,0.004225,0.004225,0.004225
72,23838.9,0.29675,0.17731,0.80461,0.92717,0.87162,0.93373,0.8153,0.63653,0.44886,1.1769,0.0041425,0.0041425,0.0041425
73,24166.3,0.30077,0.17866,0.80736,0.91961,0.87383,0.93387,0.81495,0.63916,0.45053,1.18274,0.00406,0.00406,0.00406
74,24495.7,0.29382,0.17397,0.80145,0.92381,0.86835,0.93102,0.81287,0.63974,0.44407,1.17886,0.0039775,0.0039775,0.0039775
75,24823,0.29415,0.17519,0.80341,0.9258,0.86684,0.93071,0.81319,0.64218,0.44727,1.18138,0.003895,0.003895,0.003895
76,25158.8,0.29606,0.1759,0.80154,0.91799,0.87296,0.93035,0.81474,0.6365,0.44754,1.17119,0.0038125,0.0038125,0.0038125
77,25487.8,0.29507,0.1734,0.80384,0.92217,0.86684,0.93072,0.81292,0.6341,0.44058,1.16754,0.00373,0.00373,0.00373
78,25816,0.28388,0.17031,0.79752,0.89733,0.88647,0.92754,0.81146,0.63276,0.44048,1.16465,0.0036475,0.0036475,0.0036475
79,26140,inf,0.17004,0.79494,0.90647,0.87915,0.92817,0.8115,0.63739,0.43769,1.17108,0.003565,0.003565,0.003565
80,26470.7,0.28118,0.16755,0.79458,0.92133,0.8695,0.93023,0.81164,0.6401,0.43987,1.1791,0.0034825,0.0034825,0.0034825
81,26797.6,0.28283,0.16833,0.79686,0.92061,0.87354,0.93021,0.8131,0.63581,0.44059,1.17529,0.0034,0.0034,0.0034
82,27130.1,0.27925,0.16379,0.79449,0.92886,0.86897,0.93117,0.81369,0.63477,0.4387,1.17606,0.0033175,0.0033175,0.0033175
83,27465.4,0.27463,0.16468,0.79204,0.91831,0.8817,0.93092,0.81446,0.63324,0.4356,1.17699,0.003235,0.003235,0.003235
84,27805.9,0.27189,0.16225,0.78991,0.92279,0.8817,0.93241,0.8145,0.63283,0.43763,1.17837,0.0031525,0.0031525,0.0031525
85,28146,0.27033,0.16015,0.79009,0.92492,0.87798,0.93076,0.81374,0.62933,0.43617,1.172,0.00307,0.00307,0.00307
86,28471.3,0.26444,0.15894,0.78682,0.92544,0.87571,0.93053,0.81302,0.62926,0.43522,1.17125,0.0029875,0.0029875,0.0029875
87,28795,0.26899,0.15831,0.78859,0.92913,0.87321,0.93135,0.81329,0.63041,0.43623,1.17449,0.002905,0.002905,0.002905
88,29116.7,0.2667,0.15771,0.78868,0.92211,0.87932,0.93069,0.81326,0.63093,0.43193,1.17233,0.0028225,0.0028225,0.0028225
89,29438.7,0.26444,0.15698,0.78577,0.92753,0.87374,0.92989,0.81336,0.63022,0.43673,1.17703,0.00274,0.00274,0.00274
90,29760.3,0.26015,0.15509,0.78667,0.92652,0.87626,0.93007,0.81267,0.63104,0.43311,1.1798,0.0026575,0.0026575,0.0026575
91,30082,0.25744,0.15238,0.78248,0.92605,0.87268,0.93018,0.81305,0.63105,0.42821,1.18207,0.002575,0.002575,0.002575
92,30402.6,0.25717,0.1511,0.7823,0.92594,0.87268,0.93085,0.81288,0.63218,0.42659,1.18524,0.0024925,0.0024925,0.0024925
93,30722.6,0.25216,0.14843,0.78035,0.93017,0.86897,0.93079,0.81355,0.62985,0.42669,1.18213,0.00241,0.00241,0.00241
94,31043.4,0.25519,0.15026,0.78084,0.92961,0.86878,0.93064,0.81345,0.6276,0.42622,1.17897,0.0023275,0.0023275,0.0023275
95,31363.5,0.24739,0.14628,0.77775,0.92566,0.87162,0.93209,0.81493,0.62594,0.42867,1.17964,0.002245,0.002245,0.002245
96,31683.8,0.24437,0.14384,0.77485,0.9243,0.87446,0.93261,0.81501,0.62516,0.43113,1.18098,0.0021625,0.0021625,0.0021625
97,32004.1,0.23818,0.142,0.77439,0.93369,0.86655,0.93218,0.81539,0.62401,0.4313,1.18209,0.00208,0.00208,0.00208
